Equipment number;CNB0100003974;;;Life(%);94
Time;Eq. NO2 (oxidant gases) Level (µg/m3);Bat.(mV) ;Temp. °C;Humidity %;
19/06/2018 12:05:00;17.226;4100;26;50;
19/06/2018 12:06:00;15.312;4100;26;49;
19/06/2018 12:07:00;17.226;4100;26;49;
19/06/2018 12:08:00;15.312;4100;26;49;
19/06/2018 12:09:00;19.14;4100;26;49;
19/06/2018 12:10:00;36.366;4100;26;49;
19/06/2018 12:11:00;11.484;4100;26;49;
19/06/2018 12:12:00;26.796;4100;26;49;
19/06/2018 12:13:00;21.054;4080;26;49;
19/06/2018 12:14:00;1.914;4080;26;48;
19/06/2018 12:15:00;21.054;4080;25;48;
19/06/2018 12:16:00;21.054;4080;25;49;
19/06/2018 12:17:00;47.85;4080;24;52;
19/06/2018 12:18:00;49.764;4080;23;54;
19/06/2018 12:19:00;32.538;4080;23;54;
19/06/2018 12:20:00;32.538;4080;23;54;
19/06/2018 12:21:00;51.678;4080;23;54;
19/06/2018 12:22:00;68.904;4080;23;55;
19/06/2018 12:23:00;34.452;4080;24;54;
19/06/2018 12:24:00;53.592;4080;24;53;
19/06/2018 12:25:00;21.054;4080;24;53;
19/06/2018 12:26:00;30.624;4080;25;52;
19/06/2018 12:27:00;32.538;4080;25;52;
19/06/2018 12:28:00;19.14;4080;25;52;
19/06/2018 12:29:00;1.914;4080;25;52;
19/06/2018 12:30:00;11.484;4080;25;52;
19/06/2018 12:31:00;5.742;4080;26;52;
19/06/2018 12:32:00;9.57;4080;26;52;
19/06/2018 12:33:00;1.914;4080;26;52;
19/06/2018 12:34:00;3.828;4080;26;51;
19/06/2018 12:35:00;3.828;4080;26;51;
19/06/2018 12:36:00;3.828;4080;26;51;
19/06/2018 12:37:00;9.57;4080;26;51;
19/06/2018 12:38:00;3.828;4080;26;51;
19/06/2018 12:39:00;13.398;4080;26;50;
19/06/2018 12:40:00;9.57;4080;26;51;
19/06/2018 12:41:00;7.656;4080;26;50;
19/06/2018 12:42:00;11.484;4080;26;50;
19/06/2018 12:43:00;3.828;4080;26;50;
19/06/2018 12:44:00;7.656;4080;26;50;
19/06/2018 12:45:00;5.742;4080;26;50;
19/06/2018 12:46:00;9.57;4080;26;50;
19/06/2018 12:47:00;28.71;4080;27;50;
19/06/2018 12:48:00;3.828;4080;27;50;
19/06/2018 12:49:00;9.57;4080;27;49;
19/06/2018 12:50:00;7.656;4080;27;49;
19/06/2018 12:51:00;9.57;4080;27;49;
19/06/2018 12:52:00;7.656;4080;27;49;
19/06/2018 12:53:00;7.656;4080;27;49;
19/06/2018 12:54:00;13.398;4080;27;49;
19/06/2018 12:55:00;11.484;4080;27;49;
19/06/2018 12:56:00;19.14;4080;27;49;
19/06/2018 12:57:00;9.57;4080;27;49;
19/06/2018 12:58:00;15.312;4080;27;49;
19/06/2018 12:59:00;7.656;4080;27;49;
19/06/2018 13:00:00;13.398;4080;27;48;
19/06/2018 13:01:00;17.226;4080;27;48;
19/06/2018 13:02:00;17.226;4080;27;49;
19/06/2018 13:03:00;13.398;4080;27;49;
19/06/2018 13:04:00;9.57;4080;27;48;
19/06/2018 13:05:00;17.226;4080;27;48;
19/06/2018 13:06:00;13.398;4060;27;48;
19/06/2018 13:07:00;9.57;4060;27;48;
19/06/2018 13:08:00;19.14;4080;27;48;
19/06/2018 13:09:00;19.14;4080;27;49;
19/06/2018 13:10:00;0;4060;26;47;
19/06/2018 13:11:00;21.054;4060;25;49;
19/06/2018 13:12:00;28.71;4060;25;50;
19/06/2018 13:13:00;44.022;4060;25;50;
19/06/2018 13:14:00;26.796;4060;25;50;
19/06/2018 13:15:00;45.936;4060;25;50;
19/06/2018 13:16:00;32.538;4060;25;50;
19/06/2018 13:17:00;22.968;4060;24;51;
19/06/2018 13:18:00;24.882;4060;24;51;
19/06/2018 13:19:00;38.28;4060;25;50;
19/06/2018 13:20:00;55.506;4060;24;51;
19/06/2018 13:21:00;68.904;4060;25;50;
19/06/2018 13:22:00;61.248;4060;25;50;
19/06/2018 13:23:00;42.108;4060;25;50;
