id, node_id, server_timestamp, timestamp, type_id, value_num, value_str
42710577, 35669077252071345, 2018-04-05 19:49:07, 2018-04-05 19:46:24, 2, 2.33338999748, 
42710578, 35669077252071345, 2018-04-05 19:49:07, 2018-04-05 19:46:24, 3, 0, 
42710579, 35669077252071345, 2018-04-05 19:49:07, 2018-04-05 19:46:24, 4, 22.8, 
42710586, 35669077252071345, 2018-04-05 19:49:10, 2018-04-05 19:46:24, 6, 1016.6, 
42710587, 35669077252071345, 2018-04-05 19:49:10, 2018-04-05 19:46:24, 7, 5, 
42710594, 35669077252071345, 2018-04-05 19:49:12, 2018-04-05 19:46:24, 8, 5, 
42710595, 35669077252071345, 2018-04-05 19:49:12, 2018-04-05 19:46:24, 9, 3, 
42710598, 35669077252071345, 2018-04-05 19:49:15, 2018-04-05 19:44:45, 1, 48.8667182922, 
42710600, 35669077252071345, 2018-04-05 19:49:15, 2018-04-05 19:44:45, 2, 2.33338999748, 
42710601, 35669077252071345, 2018-04-05 19:49:15, 2018-04-05 19:46:24, 5, 28.5, 
42710602, 35669077252071345, 2018-04-05 19:49:15, 2018-04-05 19:44:45, 3, 0, 
42710603, 35669077252071345, 2018-04-05 19:49:16, 2018-04-05 19:44:45, 4, 22.7, 
42710610, 35669077252071345, 2018-04-05 19:49:18, 2018-04-05 19:44:45, 6, 1016.5, 
42710611, 35669077252071345, 2018-04-05 19:49:18, 2018-04-05 19:44:45, 7, 5, 
42710618, 35669077252071345, 2018-04-05 19:49:21, 2018-04-05 19:44:45, 8, 5, 
42710619, 35669077252071345, 2018-04-05 19:49:21, 2018-04-05 19:44:45, 9, 4, 
42710623, 35669077252071345, 2018-04-05 19:49:24, 2018-04-05 19:44:45, 5, 28.1, 
42710624, 35669077213271345, 2018-04-05 19:50:07, 2032-02-12 17:18:00, 1, 48.8667907715, 
42710625, 35669077213271345, 2018-04-05 19:50:07, 2032-02-12 17:18:00, 2, 2.33336997032, 
42710626, 35669077213271345, 2018-04-05 19:50:07, 2032-02-12 17:18:00, 3, 0, 
42710627, 35669077213271345, 2018-04-05 19:50:07, 2032-02-12 17:18:00, 15, 15, 
42710628, 35669077252071345, 2018-04-05 19:50:07, 2018-04-05 19:48:03, 1, 48.8667182922, 
42710629, 35669077252071345, 2018-04-05 19:50:08, 2018-04-05 19:48:03, 2, 2.33338999748, 
42710630, 35669077252071345, 2018-04-05 19:50:08, 2018-04-05 19:48:03, 3, 0, 
42710631, 35669077252071345, 2018-04-05 19:50:08, 2018-04-05 19:48:03, 4, 22.8, 
42710634, 35669077213271345, 2018-04-05 19:50:10, 2018-04-03 10:39:05, 1, 48.8667907715, 
42710638, 35669077213271345, 2018-04-05 19:50:10, 2018-04-03 10:39:05, 2, 2.33336997032, 
42710642, 35669077213271345, 2018-04-05 19:50:10, 2018-04-03 10:39:05, 3, 0, 
42710644, 35669077252071345, 2018-04-05 19:50:10, 2018-04-05 19:48:03, 6, 1016.5, 
42710645, 35669077252071345, 2018-04-05 19:50:10, 2018-04-05 19:48:03, 7, 4, 
42710646, 35669077213271345, 2018-04-05 19:50:10, 2018-04-03 10:39:05, 4, 24, 
42710647, 35669077213271345, 2018-04-05 19:50:10, 2018-04-03 10:39:05, 6, 1014, 
42710648, 35669077111271345, 2018-04-05 19:50:10, 2018-04-05 19:48:14, 1, 48.8667297363, 
42710649, 35669077111271345, 2018-04-05 19:50:11, 2018-04-05 19:48:14, 2, 2.33333992958, 
42710650, 35669077111271345, 2018-04-05 19:50:11, 2018-04-05 19:48:14, 3, 0, 
42710651, 35669077111271345, 2018-04-05 19:50:11, 2018-04-05 19:48:14, 4, 22.2, 
42710658, 35669077252071345, 2018-04-05 19:50:13, 2018-04-05 19:48:03, 8, 5, 
42710659, 35669077252071345, 2018-04-05 19:50:13, 2018-04-05 19:48:03, 9, 3, 
42710667, 35669077111271345, 2018-04-05 19:50:13, 2018-04-05 19:48:14, 6, 1014.7, 
42710672, 35669077111271345, 2018-04-05 19:50:13, 2018-04-05 19:48:14, 7, 5, 
42710674, 35669077213271345, 2018-04-05 19:50:13, 2018-04-03 10:39:05, 7, 4, 
42710675, 35669077213271345, 2018-04-05 19:50:13, 2018-04-03 10:39:05, 8, 4, 
42710683, 35669077111271345, 2018-04-05 19:50:16, 2018-04-05 19:48:14, 8, 5, 
42710686, 35669077252071345, 2018-04-05 19:50:16, 2018-04-05 19:48:03, 5, 28.7, 
42710687, 35669077111271345, 2018-04-05 19:50:16, 2018-04-05 19:48:14, 9, 3, 
42710694, 35669077213271345, 2018-04-05 19:50:16, 2018-04-03 10:39:05, 9, 3, 
42710695, 35669077213271345, 2018-04-05 19:50:16, 2018-04-03 10:39:05, 5, 26.8, 
42710697, 35669077111271345, 2018-04-05 19:50:19, 2018-04-05 19:46:40, 1, 48.8667297363, 
42710698, 35669077111271345, 2018-04-05 19:50:19, 2018-04-05 19:46:40, 2, 2.33333992958, 
42710701, 35669077111271345, 2018-04-05 19:50:19, 2018-04-05 19:46:40, 3, 0, 
42710702, 35669077111271345, 2018-04-05 19:50:19, 2018-04-05 19:48:14, 5, 29.7, 
42710703, 35669077111271345, 2018-04-05 19:50:19, 2018-04-05 19:46:40, 4, 21.9, 
42710710, 35669077111271345, 2018-04-05 19:50:22, 2018-04-05 19:46:40, 6, 1014.7, 
42710711, 35669077111271345, 2018-04-05 19:50:22, 2018-04-05 19:46:40, 7, 5, 
42710718, 35669077111271345, 2018-04-05 19:50:24, 2018-04-05 19:46:40, 8, 5, 
42710719, 35669077111271345, 2018-04-05 19:50:24, 2018-04-05 19:46:40, 9, 3, 
42710723, 35669077111271345, 2018-04-05 19:50:27, 2018-04-05 19:46:40, 5, 31.3, 
42710724, 3566907722371345, 2018-04-05 19:50:29, 2018-04-05 19:47:51, 1, 48.8667106628, 
42710725, 3566907722371345, 2018-04-05 19:50:29, 2018-04-05 19:47:51, 2, 2.33330988884, 
42710726, 3566907722371345, 2018-04-05 19:50:29, 2018-04-05 19:47:51, 3, 0, 
42710727, 3566907722371345, 2018-04-05 19:50:29, 2018-04-05 19:47:51, 4, 24.4, 
42710733, 3566907722371345, 2018-04-05 19:50:32, 2018-04-05 19:47:51, 6, 1014, 
42710735, 3566907722371345, 2018-04-05 19:50:32, 2018-04-05 19:47:51, 7, 1, 
42710742, 3566907722371345, 2018-04-05 19:50:35, 2018-04-05 19:47:51, 8, 1, 
42710743, 3566907722371345, 2018-04-05 19:50:35, 2018-04-05 19:47:51, 9, 0, 
42710750, 3566907722371345, 2018-04-05 19:50:38, 2018-04-05 19:47:51, 5, 1, 
42710751, 3566907722371345, 2018-04-05 19:50:38, 2018-04-05 19:47:51, 11, 0, 
42710752, 3566907722371345, 2018-04-05 19:50:40, 2018-04-05 19:46:17, 1, 48.8667106628, 
42710754, 3566907722371345, 2018-04-05 19:50:40, 2018-04-05 19:46:17, 2, 2.33330988884, 
42710756, 3566907722371345, 2018-04-05 19:50:40, 2018-04-05 19:46:17, 3, 0, 
42710758, 3566907722371345, 2018-04-05 19:50:41, 2018-04-05 19:46:17, 4, 24.3, 
42710759, 3566907722371345, 2018-04-05 19:50:41, 2018-04-05 19:46:17, 6, 1014, 
42710766, 3566907722371345, 2018-04-05 19:50:44, 2018-04-05 19:46:17, 7, 0, 
42710767, 3566907722371345, 2018-04-05 19:50:44, 2018-04-05 19:46:17, 8, 1, 
42710774, 3566907722371345, 2018-04-05 19:50:47, 2018-04-05 19:46:17, 9, 0, 
42710775, 3566907722371345, 2018-04-05 19:50:47, 2018-04-05 19:46:17, 5, 1, 
42710779, 3566907722371345, 2018-04-05 19:50:50, 2018-04-05 19:46:17, 11, 0, 
42710780, 35669077213271345, 2018-04-05 19:51:07, 2032-02-12 17:19:00, 1, 48.8667907715, 
42710781, 35669077213271345, 2018-04-05 19:51:07, 2032-02-12 17:19:00, 2, 2.33336997032, 
42710782, 35669077213271345, 2018-04-05 19:51:07, 2032-02-12 17:19:00, 3, 0, 
42710783, 35669077213271345, 2018-04-05 19:51:08, 2032-02-12 17:19:00, 15, 0, 
42710784, 3566907742371345, 2018-04-05 19:51:08, 2018-04-05 19:49:32, 1, 48.8667602539, 
42710785, 3566907742371345, 2018-04-05 19:51:08, 2018-04-05 19:49:32, 2, 2.33336997032, 
42710786, 3566907742371345, 2018-04-05 19:51:08, 2018-04-05 19:49:32, 3, 0, 
42710787, 3566907742371345, 2018-04-05 19:51:08, 2018-04-05 19:49:32, 4, 24.9, 
42710788, 35669077213271345, 2018-04-05 19:51:10, 2018-04-05 19:49:23, 1, 48.8667907715, 
42710790, 35669077213271345, 2018-04-05 19:51:10, 2018-04-05 19:49:23, 2, 2.33336997032, 
42710792, 35669077213271345, 2018-04-05 19:51:10, 2018-04-05 19:49:23, 3, 0, 
42710795, 35669077213271345, 2018-04-05 19:51:10, 2018-04-05 19:49:23, 4, 23.8, 
42710797, 35669077213271345, 2018-04-05 19:51:10, 2018-04-05 19:49:23, 6, 1014.1, 
42710799, 3566907742371345, 2018-04-05 19:51:10, 2018-04-05 19:49:32, 6, 1015, 
42710803, 3566907742371345, 2018-04-05 19:51:11, 2018-04-05 19:49:32, 7, 4, 
42710810, 35669077213271345, 2018-04-05 19:51:13, 2018-04-05 19:49:23, 7, 5, 
42710811, 35669077213271345, 2018-04-05 19:51:13, 2018-04-05 19:49:23, 8, 5, 
42710815, 3566907742371345, 2018-04-05 19:51:13, 2018-04-05 19:49:32, 8, 4, 
42710819, 3566907742371345, 2018-04-05 19:51:14, 2018-04-05 19:49:32, 9, 3, 
42710826, 35669077213271345, 2018-04-05 19:51:16, 2018-04-05 19:49:23, 9, 4, 
42710827, 35669077213271345, 2018-04-05 19:51:16, 2018-04-05 19:49:23, 5, 27.9, 
42710831, 3566907742371345, 2018-04-05 19:51:16, 2018-04-05 19:49:32, 5, 24.7, 
42710832, 3566907742371345, 2018-04-05 19:51:17, 2018-04-05 19:47:52, 1, 48.8667602539, 
42710833, 3566907742371345, 2018-04-05 19:51:17, 2018-04-05 19:47:52, 2, 2.33336997032, 
42710834, 3566907742371345, 2018-04-05 19:51:17, 2018-04-05 19:47:52, 3, 0, 
42710835, 3566907742371345, 2018-04-05 19:51:17, 2018-04-05 19:47:52, 4, 25, 
42710839, 3566907742371345, 2018-04-05 19:51:19, 2018-04-05 19:47:52, 6, 1015.1, 
42710843, 3566907742371345, 2018-04-05 19:51:20, 2018-04-05 19:47:52, 7, 5, 
42710849, 3566907742371345, 2018-04-05 19:51:22, 2018-04-05 19:47:52, 8, 6, 
42710851, 3566907742371345, 2018-04-05 19:51:22, 2018-04-05 19:47:52, 9, 4, 
42710855, 3566907742371345, 2018-04-05 19:51:25, 2018-04-05 19:47:52, 5, 24.4, 
42710856, 3566907722371345, 2018-04-05 19:52:29, 2018-04-05 19:49:24, 1, 48.8667106628, 
42710857, 3566907722371345, 2018-04-05 19:52:29, 2018-04-05 19:49:24, 2, 2.33330988884, 
42710858, 3566907722371345, 2018-04-05 19:52:29, 2018-04-05 19:49:24, 3, 0, 
42710859, 3566907722371345, 2018-04-05 19:52:29, 2018-04-05 19:49:24, 4, 24.4, 
42710866, 3566907722371345, 2018-04-05 19:52:32, 2018-04-05 19:49:24, 6, 1013.9, 
42710867, 3566907722371345, 2018-04-05 19:52:32, 2018-04-05 19:49:24, 7, 1, 
42710874, 3566907722371345, 2018-04-05 19:52:34, 2018-04-05 19:49:24, 8, 1, 
