id, timestamp, node_id, node_name, gps_lat, gps_lng, gps_alt, temperatre, humidity, pressure, pm2.5, pm10, pm1.0, formaldehyde, no2,bc
535,2018-03-06 17:31:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 19.8, 38.7,972.3,,,,,,
545,2018-03-06 17:34:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20, 38.6,972.2,,,,,,
555,2018-03-06 17:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.1, 38,972.2,,,,,,
562,2018-03-06 17:38:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.3, 37.6,972.1,,,,,,
572,2018-03-06 17:40:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.4, 37.2,972.1,,,,,,
588,2018-03-06 17:42:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.5, 36.8,972,,,,,,
599,2018-03-06 17:44:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.6, 36.4,972,,,,,,
607,2018-03-06 17:46:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.7, 36,972.2,,,,,,
615,2018-03-06 17:49:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.9, 35.8,972.3,,,,,,
625,2018-03-06 17:51:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21, 35.4,972.3,,,,,,
632,2018-03-06 17:53:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.1, 35.2,972.4,,,,,,
640,2018-03-06 17:55:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.2, 34.9,972.4,,,,,,
650,2018-03-06 17:57:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.4, 34.8,972.8,,,,,,
655,2018-03-06 17:59:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.4, 34.4,973.1,,,,,,
665,2018-03-06 18:01:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.4, 34.2,973.1,,,,,,
672,2018-03-06 18:04:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.7, 34.2,973.1,,,,,,
678,2018-03-06 18:06:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.5, 33.7,973.1,,,,,,
684,2018-03-06 18:08:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.7, 33.6,973,,,,,,
694,2018-03-06 18:10:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.7, 33.3,973,,,,,,
704,2018-03-06 18:12:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.8, 33.2,972.9,,,,,,
709,2018-03-06 18:14:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.8, 33,973.1,,,,,,
715,2018-03-06 18:16:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.9, 32.9,973,,,,,,
723,2018-03-06 18:19:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.9, 32.6,973.1,,,,,,
732,2018-03-06 18:21:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22, 32.5,973,,,,,,
737,2018-03-06 18:23:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.1, 32.5,973,,,,,,
744,2018-03-06 18:25:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.1, 32.2,972.8,,,,,,
756,2018-03-06 18:27:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.2, 32.1,972.9,,,,,,
762,2018-03-06 18:29:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.2, 32,972.8,,,,,,
767,2018-03-06 18:31:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.3, 31.9,972.7,,,,,,
775,2018-03-06 18:34:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.3, 31.7,972.8,,,,,,
782,2018-03-06 18:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.3, 31.6,972.9,,,,,,
790,2018-03-06 18:38:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.4, 31.6,973,,,,,,
795,2018-03-06 18:40:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.4, 31.4,973,,,,,,
805,2018-03-06 18:42:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.5, 31.4,973,,,,,,
813,2018-03-06 18:44:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.5, 31.2,973.1,,,,,,
819,2018-03-06 18:46:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.5, 31.1,973.1,,,,,,
828,2018-03-06 18:49:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.6, 31,973.2,,,,,,
834,2018-03-06 18:51:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.7, 31,973,,,,,,
843,2018-03-06 18:53:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.6, 30.8,973.1,,,,,,
849,2018-03-06 18:55:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.7, 30.8,973,,,,,,
858,2018-03-06 18:57:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.8, 30.8,973,,,,,,
865,2018-03-06 18:59:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.7, 30.6,973.1,,,,,,
872,2018-03-06 19:01:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.6, 30.4,973.1,,,,,,
881,2018-03-06 19:04:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.7, 30.4,973.1,,,,,,
889,2018-03-06 19:06:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.8, 30.4,973.2,,,,,,
894,2018-03-06 19:08:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.8, 30.3,973.1,,,,,,
901,2018-03-06 19:10:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.8, 30.2,973.2,,,,,,
912,2018-03-06 19:12:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.8, 30.1,973.2,,,,,,
918,2018-03-06 19:14:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 30,973.2,,,,,,
925,2018-03-06 19:16:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 30,973.2,,,,,,
932,2018-03-06 19:19:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 30,973.2,,,,,,
941,2018-03-06 19:21:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.8, 29.9,973.2,,,,,,
946,2018-03-06 19:23:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 30,973.2,,,,,,
951,2018-03-06 19:25:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 30,973.2,,,,,,
965,2018-03-06 19:27:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 30,973.2,,,,,,
970,2018-03-06 19:29:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 30,973.3,,,,,,
976,2018-03-06 19:31:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 29.9,973.2,,,,,,
986,2018-03-06 19:34:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 30,973.1,,,,,,
990,2018-03-06 19:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 30,973.2,,,,,,
999,2018-03-06 19:38:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 30,973.1,,,,,,
1006,2018-03-06 19:40:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.9,973.2,,,,,,
1018,2018-03-06 19:42:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.8,973.2,,,,,,
1022,2018-03-06 19:44:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 29.8,973.2,,,,,,
1030,2018-03-06 19:46:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.8,973.2,,,,,,
1037,2018-03-06 19:49:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.7,973.1,,,,,,
1043,2018-03-06 19:51:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.7,973,,,,,,
1050,2018-03-06 19:53:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.6,973.1,,,,,,
1058,2018-03-06 19:55:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.6,973,,,,,,
1065,2018-03-06 19:57:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.5,973,,,,,,
1075,2018-03-06 19:59:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.5,973,,,,,,
1080,2018-03-06 20:01:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.5,973,,,,,,
1089,2018-03-06 20:04:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.4,973,,,,,,
1095,2018-03-06 20:06:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 29.4,973,,,,,,
1104,2018-03-06 20:08:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 29.3,973.1,,,,,,
1109,2018-03-06 20:10:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.4,973.1,,,,,,
1118,2018-03-06 20:12:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.3,973,,,,,,
1128,2018-03-06 20:14:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 29.4,973.1,,,,,,
1133,2018-03-06 20:16:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.3,973,,,,,,
1139,2018-03-06 20:19:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.2,973,,,,,,
1148,2018-03-06 20:21:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.2,973.1,,,,,,
1152,2018-03-06 20:23:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.2,973,,,,,,
1163,2018-03-06 20:25:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.2,973.1,,,,,,
1170,2018-03-06 20:27:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.2,973.1,,,,,,
1179,2018-03-06 20:29:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.2,973.1,,,,,,
1184,2018-03-06 20:31:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.2,973.1,,,,,,
1195,2018-03-06 20:34:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.2,973.1,,,,,,
1198,2018-03-06 20:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.1,973.1,,,,,,
1207,2018-03-06 20:38:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29.1,973.1,,,,,,
1213,2018-03-06 20:40:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.2,973.2,,,,,,
1224,2018-03-06 20:42:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29,973.1,,,,,,
1231,2018-03-06 20:44:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.9, 29,973,,,,,,
1238,2018-03-06 20:46:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29.1,973,,,,,,
1245,2018-03-06 20:49:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 29,973.1,,,,,,
1251,2018-03-06 20:51:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 29.2,973,,,,,,
1259,2018-03-06 20:53:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 29.2,973,,,,,,
1266,2018-03-06 20:55:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 28.9,973,,,,,,
1276,2018-03-06 20:57:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29,973,,,,,,
1284,2018-03-06 20:59:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29,973,,,,,,
1290,2018-03-06 21:01:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 29,973,,,,,,
1298,2018-03-06 21:04:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 28.9,973,,,,,,
1303,2018-03-06 21:06:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 29,973,,,,,,
1311,2018-03-06 21:08:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 29,973,,,,,,
1318,2018-03-06 21:10:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.9,973.1,,,,,,
1329,2018-03-06 21:12:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 28.9,973.1,,,,,,
1334,2018-03-06 21:14:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.9,973,,,,,,
1341,2018-03-06 21:16:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 28.8,973,,,,,,
