Time Stamp, NOCNC1-INST (PPB), NO2CNC1-INST (PPB), SMPFLW-INST (cc/m)
06/24/2018 00:01:01,     0.0300,     5.8379,   1007.061
06/24/2018 00:02:01,     0.0257,     5.8338,    983.160
06/24/2018 00:03:01,     0.0237,     5.8190,   1007.260
06/24/2018 00:04:01,     0.0227,     5.7850,   1006.928
06/24/2018 00:05:01,     0.0169,     5.7778,    983.217
06/24/2018 00:06:01,     0.0182,     5.7469,    983.242
06/24/2018 00:07:01,     0.0137,     5.8178,   1006.459
06/24/2018 00:08:01,     0.0066,     5.8671,    983.204
06/24/2018 00:09:01,     0.0024,     5.9003,    983.466
06/24/2018 00:10:01,    -0.0047,     5.9296,   1006.835
06/24/2018 00:11:01,    -0.0062,     5.9623,    983.154
06/24/2018 00:12:01,    -0.0018,     6.0217,   1006.999
06/24/2018 00:13:01,     0.0035,     6.0686,   1006.982
06/24/2018 00:14:01,     0.0063,     6.1187,    982.815
06/24/2018 00:15:01,     0.0078,     6.1749,    982.939
06/24/2018 00:16:01,     0.0118,     6.2102,   1006.917
06/24/2018 00:17:01,     0.0171,     6.2707,   1006.926
06/24/2018 00:18:01,     0.0233,     6.3163,    983.005
06/24/2018 00:19:01,     0.0285,     6.3371,    988.528
06/24/2018 00:20:01,     0.0296,     6.3351,   1006.853
06/24/2018 00:21:01,     0.0286,     6.3190,    982.876
06/24/2018 00:22:01,     0.0311,     6.2574,    982.948
06/24/2018 00:23:01,     0.0338,     6.1795,   1006.762
06/24/2018 00:24:01,     0.0292,     6.1044,    983.002
06/24/2018 00:25:01,     0.0317,     6.0118,    983.154
06/24/2018 00:26:01,     0.0304,     5.9708,   1006.818
06/24/2018 00:27:01,     0.0332,     5.9231,   1004.293
06/24/2018 00:28:01,     0.0326,     5.9108,   1007.005
06/24/2018 00:29:01,     0.0330,     5.9380,   1006.929
06/24/2018 00:30:01,     0.0384,     6.0203,   1005.960
06/24/2018 00:31:01,     0.0384,     6.1490,    983.018
06/24/2018 00:32:01,     0.0441,     6.2314,    984.893
06/24/2018 00:33:01,     0.0531,     6.3187,   1006.844
06/24/2018 00:34:01,     0.0614,     6.3672,    982.989
06/24/2018 00:35:01,     0.0619,     6.3944,    985.796
06/24/2018 00:36:01,     0.0612,     6.4098,   1006.840
06/24/2018 00:37:01,     0.0648,     6.4139,    982.847
06/24/2018 00:38:01,     0.0650,     6.4418,    982.989
06/24/2018 00:39:01,     0.0687,     6.4271,   1007.039
06/24/2018 00:40:01,     0.0712,     6.3783,    982.872
06/24/2018 00:41:01,     0.0919,     6.3249,    982.951
06/24/2018 00:42:01,     0.0849,     6.3376,   1006.873
06/24/2018 00:43:01,     0.0825,     6.3320,   1005.676
06/24/2018 00:44:01,     0.0880,     6.3042,   1006.965
06/24/2018 00:45:01,     0.0886,     6.3189,   1006.661
06/24/2018 00:46:01,     0.0951,     6.3006,   1006.559
06/24/2018 00:47:01,     0.0973,     6.2892,    982.961
06/24/2018 00:48:01,     0.0946,     6.3311,    982.910
06/24/2018 00:49:01,     0.0689,     6.3883,   1006.939
06/24/2018 00:50:01,     0.0662,     6.3831,    982.914
06/24/2018 00:51:01,     0.0755,     6.3629,    983.065
06/24/2018 00:52:01,     0.0741,     6.3623,   1006.679
06/24/2018 00:53:01,     0.0710,     6.3587,   1000.517
06/24/2018 00:54:01,     0.0692,     6.3365,    983.034
06/24/2018 00:55:01,     0.0637,     6.3101,   1006.654
06/24/2018 00:56:01,     0.0643,     6.2422,    982.737
06/24/2018 00:57:01,     0.0644,     6.1843,    982.876
06/24/2018 00:58:01,     0.0655,     6.1171,    986.652
06/24/2018 00:59:01,     0.0627,     6.0550,   1006.907
06/24/2018 01:00:01,     0.0555,     5.9795,   1006.911
06/24/2018 01:01:01,     0.0528,     5.9089,    984.795
06/24/2018 01:02:01,     0.0508,     5.8222,   1006.758
06/24/2018 01:03:01,     0.0462,     5.7368,    982.822
06/24/2018 01:04:01,     0.0411,     5.6353,    982.857
06/24/2018 01:05:01,     0.0406,     5.5525,   1006.747
06/24/2018 01:06:01,     0.0410,     5.4536,    982.579
06/24/2018 01:07:01,     0.0427,     5.3833,    982.800
06/24/2018 01:08:01,     0.0445,     5.3076,   1006.517
06/24/2018 01:09:01,     0.0337,     5.2416,   1002.821
06/24/2018 01:10:01,     0.0367,     5.1445,    982.920
06/24/2018 01:11:01,     0.0350,     5.0982,   1006.670
06/24/2018 01:12:01,     0.0343,     5.0590,   1005.723
06/24/2018 01:13:01,     0.0327,     5.0344,    982.633
06/24/2018 01:14:02,     0.0312,     4.9733,    982.544
06/24/2018 01:15:01,     0.0283,     4.9160,   1006.601
06/24/2018 01:16:01,     0.0286,     4.8566,   1006.450
06/24/2018 01:17:01,     0.0287,     4.8327,    982.983
06/24/2018 01:18:01,     0.0321,     4.8096,   1006.548
06/24/2018 01:19:01,     0.0312,     4.8119,    982.446
06/24/2018 01:20:01,     0.0295,     4.8210,    982.440
06/24/2018 01:21:01,     0.0328,     4.8181,    983.649
06/24/2018 01:22:01,     0.0366,     4.7989,    982.345
06/24/2018 01:23:01,     0.0340,     4.8173,    982.393
06/24/2018 01:24:01,     0.0289,     4.8511,    985.357
06/24/2018 01:25:01,     0.0269,     4.8588,   1006.351
06/24/2018 01:26:01,     0.0289,     4.8697,    982.377
06/24/2018 01:27:01,     0.0333,     4.8839,   1006.061
06/24/2018 01:28:01,     0.0332,     4.9017,   1005.269
06/24/2018 01:29:01,     0.0371,     4.8656,    982.187
06/24/2018 01:30:01,     0.0354,     4.9011,    982.535
06/24/2018 01:31:01,     0.0342,     4.9174,   1006.235
06/24/2018 01:32:01,     0.0387,     4.9354,   1006.317
06/24/2018 01:33:01,     0.0422,     4.9627,    982.494
06/24/2018 01:34:01,     0.0429,     4.9759,   1006.164
06/24/2018 01:35:01,     0.0410,     4.9912,   1003.664
06/24/2018 01:36:01,     0.0454,     4.9905,    982.525
06/24/2018 01:37:01,     0.0498,     4.9975,    983.694
06/24/2018 01:38:01,     0.0437,     5.0273,    982.355
06/24/2018 01:39:01,     0.0436,     5.0257,    982.250
06/24/2018 01:40:01,     0.0499,     5.0252,    984.590
06/24/2018 01:41:01,     0.0488,     5.0621,   1006.330
06/24/2018 01:42:01,     0.0481,     5.0728,    982.563
06/24/2018 01:43:01,     0.0503,     5.0628,   1006.459
06/24/2018 01:44:01,     0.0501,     5.0806,   1006.392
06/24/2018 01:45:01,     0.0461,     5.0928,    982.361
06/24/2018 01:46:01,     0.0488,     5.1076,    982.272
06/24/2018 01:47:01,     0.0516,     5.0930,   1006.308
06/24/2018 01:48:01,     0.0504,     5.1154,   1006.475
06/24/2018 01:49:01,     0.0377,     5.1102,    982.329
06/24/2018 01:50:01,     0.0348,     5.1078,   1005.985
06/24/2018 01:51:01,     0.0330,     5.1055,   1005.802
06/24/2018 01:52:01,     0.0305,     5.0806,    982.462
06/24/2018 01:53:01,     0.0294,     5.0373,    982.535
06/24/2018 01:54:01,     0.0267,     5.0063,    982.550
06/24/2018 01:55:01,     0.0216,     4.9799,    982.250
06/24/2018 01:56:01,     0.0188,     4.9288,    982.784
06/24/2018 01:57:01,     0.0201,     4.9020,   1006.045
06/24/2018 01:58:01,     0.0257,     4.8360,    997.943
06/24/2018 01:59:01,     0.0261,     4.7716,   1006.004
06/24/2018 02:00:01,     0.0280,     4.7211,    982.209
06/24/2018 02:01:01,     0.0276,     4.6951,    982.301
06/24/2018 02:02:01,     0.0294,     4.6584,    987.662
06/24/2018 02:03:01,     0.0304,     4.6316,   1006.285
06/24/2018 02:04:01,     0.0278,     4.5776,    982.197
06/24/2018 02:05:01,     0.0285,     4.5100,   1006.269
06/24/2018 02:06:01,     0.0254,     4.4551,   1006.061
06/24/2018 02:07:01,     0.0273,     4.3973,    982.339
06/24/2018 02:08:01,     0.0232,     4.3290,    982.326
06/24/2018 02:09:01,     0.0219,     4.2840,   1006.257
06/24/2018 02:10:01,     0.0292,     4.1691,   1006.229
06/24/2018 02:11:01,     0.0291,     4.0847,    982.146
06/24/2018 02:12:01,     0.0264,     4.0728,   1005.940
06/24/2018 02:13:01,     0.0256,     4.0471,   1000.987
06/24/2018 02:14:01,     0.0305,     4.0063,    982.124
06/24/2018 02:15:01,     0.0304,     3.9885,    982.111
06/24/2018 02:16:01,     0.0293,     3.9777,   1003.977
06/24/2018 02:17:01,     0.0320,     3.9849,    982.121
06/24/2018 02:18:01,     0.0322,     4.0035,    982.310
06/24/2018 02:19:01,     0.0257,     4.0389,   1006.000
06/24/2018 02:20:01,     0.0240,     4.0606,    982.134
06/24/2018 02:21:01,     0.0312,     4.0357,   1006.077
06/24/2018 02:22:01,     0.0290,     4.0203,   1005.926
06/24/2018 02:23:01,     0.0317,     4.0183,    982.055
06/24/2018 02:24:01,     0.0301,     4.0337,    982.033
06/24/2018 02:25:01,     0.0286,     4.0081,    983.968
06/24/2018 02:26:01,     0.0284,     3.9711,   1005.951
06/24/2018 02:27:01,     0.0297,     3.9310,    981.988
06/24/2018 02:28:01,     0.0322,     3.8917,    985.143
06/24/2018 02:29:01,     0.0256,     3.8851,   1005.792
06/24/2018 02:30:01,     0.0221,     3.8649,    982.004
06/24/2018 02:31:02,     0.0196,     3.8624,    982.191
06/24/2018 02:32:01,     0.0186,     3.8516,   1005.969
06/24/2018 02:33:01,     0.0210,     3.8432,    981.957
06/24/2018 02:34:01,     0.0153,     3.8445,    982.143
06/24/2018 02:35:01,     0.0135,     3.8421,   1005.881
06/24/2018 02:36:01,     0.0096,     3.8535,   1004.643
06/24/2018 02:37:01,     0.0046,     3.8355,   1005.915
06/24/2018 02:38:01,     0.0060,     3.7839,   1005.939
06/24/2018 02:39:01,     0.0080,     3.7276,   1002.609
06/24/2018 02:40:01,     0.0054,     3.6991,    981.969
06/24/2018 02:41:01,     0.0004,     3.6410,    983.160
06/24/2018 02:42:01,    -0.0007,     3.5639,   1005.806
06/24/2018 02:43:01,     0.0057,     3.5009,    981.934
06/24/2018 02:44:01,     0.0043,     3.4300,    982.339
06/24/2018 02:45:01,     0.0064,     3.3615,   1005.701
06/24/2018 02:46:01,     0.0050,     3.3145,    981.944
06/24/2018 02:47:01,     0.0037,     3.3029,    981.951
06/24/2018 02:48:01,     0.0090,     3.2531,   1005.724
06/24/2018 02:49:01,     0.0082,     3.2016,    981.669
06/24/2018 02:50:01,     0.0126,     3.1618,    981.931
06/24/2018 02:51:01,     0.0068,     3.1432,   1005.664
06/24/2018 02:52:01,     0.0085,     3.1295,   1005.057
06/24/2018 02:53:01,     0.0095,     3.1196,   1005.704
06/24/2018 02:54:01,     0.0053,     3.1257,   1005.628
06/24/2018 02:55:01,     0.0066,     3.1320,   1005.483
06/24/2018 02:56:01,     0.0081,     3.2000,    981.900
06/24/2018 02:57:01,     0.0141,     3.2574,    981.865
06/24/2018 02:58:01,     0.0111,     3.3614,   1005.780
06/24/2018 02:59:01,     0.0109,     3.4702,    981.805
06/24/2018 03:00:01,     0.0145,     3.5368,    981.934
06/24/2018 03:01:01,     0.0165,     3.5979,   1006.067
