Time Stamp, NOCNC1-INST (PPB), NO2CNC1-INST (PPB), SMPFLW-INST (cc/m)
06/26/2018 00:01:01,     0.0501,     7.5484,   1006.294
06/26/2018 00:02:01,     0.0520,     7.5220,   1006.285
06/26/2018 00:03:01,     0.0528,     7.4355,    982.307
06/26/2018 00:04:01,     0.0590,     7.3198,    982.560
06/26/2018 00:05:01,     0.0610,     7.2452,   1006.130
06/26/2018 00:06:01,     0.0559,     7.2005,   1006.372
06/26/2018 00:07:01,     0.0543,     7.2192,    982.474
06/26/2018 00:08:01,     0.0542,     7.2511,   1006.491
06/26/2018 00:09:01,     0.0619,     7.2966,    982.355
06/26/2018 00:10:01,     0.0579,     7.4825,    982.512
06/26/2018 00:11:01,     0.0593,     7.6533,    982.551
06/26/2018 00:12:01,     0.0619,     7.8694,   1005.616
06/26/2018 00:13:01,     0.0639,     8.0793,    982.443
06/26/2018 00:14:01,     0.0661,     8.3477,    982.863
06/26/2018 00:15:01,     0.0717,     8.5393,   1006.260
06/26/2018 00:16:01,     0.0765,     8.7044,    982.276
06/26/2018 00:17:01,     0.0678,     9.0135,   1006.336
06/26/2018 00:18:01,     0.0763,     9.1641,   1006.206
06/26/2018 00:19:01,     0.0833,     9.3974,    982.178
06/26/2018 00:20:01,     0.0900,     9.6158,    982.389
06/26/2018 00:21:01,     0.0902,     9.9240,   1006.068
06/26/2018 00:22:01,     0.0899,    10.1461,   1006.165
06/26/2018 00:23:01,     0.0872,    10.2578,    982.389
06/26/2018 00:24:01,     0.0865,    10.3367,    986.769
06/26/2018 00:25:01,     0.0947,    10.2962,   1005.999
06/26/2018 00:26:01,     0.0986,    10.1569,    982.225
06/26/2018 00:27:01,     0.0945,     9.9602,    982.355
06/26/2018 00:28:01,     0.0880,     9.7040,   1006.098
06/26/2018 00:29:01,     0.0837,     9.4566,    982.329
06/26/2018 00:30:01,     0.0884,     9.1426,    982.370
06/26/2018 00:31:01,     0.0856,     8.9119,   1006.232
06/26/2018 00:32:01,     0.0869,     8.6987,    982.298
06/26/2018 00:33:01,     0.1103,     8.5761,   1006.191
06/26/2018 00:34:01,     0.1013,     8.5075,   1006.288
06/26/2018 00:35:01,     0.1047,     8.4411,    982.215
06/26/2018 00:36:01,     0.1131,     8.4109,    982.351
06/26/2018 00:37:01,     0.1186,     8.3602,    983.725
06/26/2018 00:38:01,     0.1217,     8.3094,   1006.178
06/26/2018 00:39:01,     0.1255,     8.2709,    982.266
06/26/2018 00:40:01,     0.1279,     8.2652,    982.838
06/26/2018 00:41:01,     0.1185,     8.3134,   1006.190
