Time Stamp, NOCNC1-INST (PPB), NO2CNC1-INST (PPB), SMPFLW-INST (cc/m)
07/02/2018 00:01:01,    -0.0112,     1.7032,    977.429
07/02/2018 00:02:01,    -0.0120,     1.6962,    994.183
07/02/2018 00:03:01,    -0.0171,     1.7060,    994.050
07/02/2018 00:04:01,    -0.0196,     1.6973,    994.043
07/02/2018 00:05:01,    -0.0213,     1.7042,    994.062
07/02/2018 00:06:01,    -0.0255,     1.7017,    970.407
07/02/2018 00:07:01,    -0.0234,     1.7010,    970.426
07/02/2018 00:08:01,    -0.0135,     1.7147,    994.012
07/02/2018 00:09:01,    -0.0054,     1.7554,    970.366
07/02/2018 00:10:01,    -0.0062,     1.7887,    970.426
07/02/2018 00:11:01,    -0.0096,     1.8290,    993.981
07/02/2018 00:12:01,    -0.0060,     1.8509,    993.251
07/02/2018 00:13:01,    -0.0053,     1.8673,    970.372
07/02/2018 00:14:01,    -0.0053,     1.8743,    993.927
07/02/2018 00:15:01,    -0.0014,     1.8777,    985.591
07/02/2018 00:16:01,    -0.0067,     1.8876,    970.255
07/02/2018 00:17:01,    -0.0095,     1.8697,    970.467
07/02/2018 00:18:01,    -0.0096,     1.8441,    993.760
07/02/2018 00:19:01,    -0.0062,     1.8172,    993.769
07/02/2018 00:20:01,    -0.0082,     1.8226,    970.495
07/02/2018 00:21:01,    -0.0079,     1.8319,    993.689
07/02/2018 00:22:01,    -0.0071,     1.8429,    970.141
07/02/2018 00:23:01,    -0.0110,     1.8606,    970.167
07/02/2018 00:24:01,    -0.0140,     1.8527,    977.736
07/02/2018 00:25:01,    -0.0186,     1.8424,    970.110
07/02/2018 00:26:01,    -0.0187,     1.8129,    970.164
07/02/2018 00:27:01,    -0.0196,     1.8315,    993.703
07/02/2018 00:28:01,    -0.0261,     1.8336,    993.305
07/02/2018 00:29:01,    -0.0198,     1.8106,    970.037
07/02/2018 00:30:01,    -0.0224,     1.7616,    993.611
07/02/2018 00:31:01,    -0.0210,     1.7640,    993.592
07/02/2018 00:32:01,    -0.0207,     1.7811,    970.022
07/02/2018 00:33:01,    -0.0133,     1.8125,    969.946
07/02/2018 00:34:01,    -0.0103,     1.8693,    993.590
07/02/2018 00:35:01,    -0.0084,     1.9416,    993.478
07/02/2018 00:36:01,    -0.0051,     2.0232,    970.078
07/02/2018 00:37:01,     0.0029,     2.0647,    993.443
07/02/2018 00:38:01,     0.0048,     2.1463,    969.911
07/02/2018 00:39:01,     0.0077,     2.1993,    969.911
07/02/2018 00:40:01,     0.0087,     2.2335,    970.192
07/02/2018 00:41:01,     0.0042,     2.2542,    969.905
07/02/2018 00:42:01,    -0.0030,     2.2563,    969.772
07/02/2018 00:43:01,     0.0023,     2.2425,    971.424
07/02/2018 00:44:01,     0.0018,     2.2572,    993.419
07/02/2018 00:45:01,    -0.0040,     2.3059,    969.870
07/02/2018 00:46:01,    -0.0062,     2.3260,    993.507
07/02/2018 00:47:01,    -0.0044,     2.3852,    993.507
07/02/2018 00:48:01,    -0.0074,     2.4744,    969.977
07/02/2018 00:49:01,    -0.0004,     2.5198,    970.028
07/02/2018 00:50:01,     0.0062,     2.5907,    993.684
07/02/2018 00:51:01,     0.0091,     2.6880,    993.646
07/02/2018 00:52:01,     0.0036,     2.7414,    970.242
07/02/2018 00:53:01,     0.0080,     2.7471,    993.629
07/02/2018 00:54:01,     0.0065,     2.7237,    993.689
07/02/2018 00:55:01,     0.0061,     2.6778,    970.182
07/02/2018 00:56:01,     0.0036,     2.6054,    970.429
07/02/2018 00:57:01,     0.0049,     2.5230,    993.156
07/02/2018 00:58:01,     0.0040,     2.4584,    970.100
07/02/2018 00:59:01,     0.0057,     2.3676,    970.040
07/02/2018 01:00:01,     0.0043,     2.2952,    993.611
07/02/2018 01:01:01,     0.0040,     2.2292,    970.044
07/02/2018 01:02:01,     0.0046,     2.1484,    993.595
07/02/2018 01:03:01,     0.0095,     2.1198,    993.592
07/02/2018 01:04:01,     0.0112,     2.1089,    970.006
07/02/2018 01:05:01,     0.0128,     2.1191,    970.015
07/02/2018 01:06:01,     0.0150,     2.0966,    973.719
07/02/2018 01:07:01,     0.0173,     2.0912,    993.612
07/02/2018 01:08:01,     0.0181,     2.0959,    969.984
07/02/2018 01:09:01,     0.0195,     2.0665,    993.604
07/02/2018 01:10:01,     0.0224,     2.0488,    993.604
07/02/2018 01:11:01,     0.0215,     1.9913,    970.066
07/02/2018 01:12:01,     0.0177,     1.9353,    970.104
07/02/2018 01:13:01,     0.0128,     1.8645,    993.282
07/02/2018 01:14:01,     0.0105,     1.8326,    970.040
07/02/2018 01:15:01,    -0.0006,     1.8097,    970.198
07/02/2018 01:16:01,    -0.0049,     1.7770,    993.611
07/02/2018 01:17:01,    -0.0088,     1.7109,    970.160
07/02/2018 01:18:01,    -0.0111,     1.7216,    993.687
07/02/2018 01:19:01,    -0.0138,     1.7231,    993.646
07/02/2018 01:20:01,    -0.0154,     1.7254,    992.717
07/02/2018 01:21:01,    -0.0192,     1.7585,    970.006
07/02/2018 01:22:01,    -0.0217,     1.7654,    971.875
07/02/2018 01:23:01,    -0.0189,     1.7973,    993.652
07/02/2018 01:24:01,    -0.0148,     1.8075,    969.860
07/02/2018 01:25:01,    -0.0145,     1.8525,    970.277
07/02/2018 01:26:01,    -0.0212,     1.8902,    993.532
07/02/2018 01:27:01,    -0.0169,     1.9012,    969.965
07/02/2018 01:28:01,    -0.0133,     1.9300,    969.980
07/02/2018 01:29:01,    -0.0098,     1.9573,    993.653
07/02/2018 01:30:01,    -0.0062,     1.9683,    970.003
07/02/2018 01:31:01,    -0.0047,     1.9962,    970.012
07/02/2018 01:32:01,    -0.0023,     2.0072,    982.620
07/02/2018 01:33:01,    -0.0075,     2.0387,    993.677
07/02/2018 01:34:01,    -0.0070,     2.0759,    993.602
07/02/2018 01:35:01,    -0.0113,     2.1238,    993.627
07/02/2018 01:36:01,    -0.0133,     2.1517,    993.317
07/02/2018 01:37:01,    -0.0155,     2.1702,    970.028
07/02/2018 01:38:01,    -0.0180,     2.1917,    970.040
07/02/2018 01:39:01,    -0.0238,     2.2209,    993.523
07/02/2018 01:40:01,    -0.0267,     2.2743,    969.914
07/02/2018 01:41:01,    -0.0206,     2.2994,    969.977
07/02/2018 01:42:01,    -0.0146,     2.3019,    993.570
07/02/2018 01:43:01,    -0.0106,     2.3191,    992.522
07/02/2018 01:44:01,    -0.0110,     2.3292,    969.873
07/02/2018 01:45:01,    -0.0091,     2.3673,    993.393
07/02/2018 01:46:01,    -0.0093,     2.4068,    991.751
07/02/2018 01:47:01,    -0.0109,     2.4363,    969.860
07/02/2018 01:48:01,    -0.0043,     2.4311,    972.828
07/02/2018 01:49:01,    -0.0052,     2.4272,    993.437
07/02/2018 01:50:01,    -0.0073,     2.4317,    993.438
07/02/2018 01:51:01,    -0.0108,     2.4378,    970.195
07/02/2018 01:52:01,    -0.0098,     2.4254,    993.257
07/02/2018 01:53:01,    -0.0111,     2.3687,    969.687
07/02/2018 01:54:01,    -0.0099,     2.2732,    969.728
07/02/2018 01:55:01,    -0.0178,     2.2201,    978.316
07/02/2018 01:56:01,    -0.0164,     2.1045,    969.627
07/02/2018 01:57:01,    -0.0198,     1.9585,    969.636
07/02/2018 01:58:01,    -0.0202,     1.8499,    993.141
07/02/2018 01:59:01,    -0.0304,     1.7200,    993.109
07/02/2018 02:00:01,    -0.0347,     1.5903,    969.510
07/02/2018 02:01:01,    -0.0378,     1.5003,    969.459
07/02/2018 02:02:01,    -0.0408,     1.5366,    993.084
07/02/2018 02:03:01,    -0.0275,     1.6224,    969.437
07/02/2018 02:04:01,    -0.0215,     1.7754,    969.396
07/02/2018 02:05:01,    -0.0150,     1.9874,    971.916
07/02/2018 02:06:01,    -0.0080,     2.2430,    992.904
07/02/2018 02:07:01,     0.0039,     2.7911,    993.027
07/02/2018 02:08:01,     0.0136,     3.2845,    992.859
07/02/2018 02:09:01,     0.0210,     3.6038,    992.865
07/02/2018 02:10:01,     0.0302,     3.9367,    969.172
07/02/2018 02:11:01,     0.0361,     4.2120,    969.286
07/02/2018 02:12:01,     0.0433,     4.3597,    992.778
07/02/2018 02:13:01,     0.0433,     4.4626,    969.112
07/02/2018 02:14:01,     0.0400,     4.5187,    969.204
07/02/2018 02:15:01,     0.0343,     4.4927,    992.610
07/02/2018 02:16:01,     0.0344,     4.3329,    992.187
07/02/2018 02:17:01,     0.0338,     4.1325,    969.100
07/02/2018 02:18:01,     0.0279,     4.0193,    992.620
07/02/2018 02:19:01,     0.0248,     3.8946,    991.843
07/02/2018 02:20:01,     0.0178,     3.8063,    968.958
07/02/2018 02:21:01,     0.0119,     3.7407,    969.055
07/02/2018 02:22:01,     0.0108,     3.7227,    992.464
07/02/2018 02:23:01,     0.0130,     3.6022,    992.509
07/02/2018 02:24:01,     0.0119,     3.4971,    969.194
07/02/2018 02:25:01,     0.0067,     3.4743,    992.391
07/02/2018 02:26:01,     0.0078,     3.4549,    968.964
07/02/2018 02:27:01,     0.0107,     3.4426,    968.834
07/02/2018 02:28:01,     0.0177,     3.4616,    972.522
07/02/2018 02:29:01,     0.0201,     3.5287,    968.920
07/02/2018 02:30:01,     0.0194,     3.5660,    968.825
07/02/2018 02:31:01,     0.0216,     3.6113,    992.250
07/02/2018 02:32:01,     0.0252,     3.6620,    992.224
07/02/2018 02:33:01,     0.0326,     3.6974,    968.784
07/02/2018 02:34:01,     0.0339,     3.6904,    992.474
07/02/2018 02:35:01,     0.0321,     3.6950,    992.329
07/02/2018 02:36:01,     0.0229,     3.6455,    968.837
07/02/2018 02:37:01,     0.0215,     3.6213,    968.894
07/02/2018 02:38:01,     0.0231,     3.6120,    992.305
07/02/2018 02:39:01,     0.0258,     3.6814,    992.345
07/02/2018 02:40:01,     0.0260,     3.8130,    968.733
07/02/2018 02:41:01,     0.0239,     3.9368,    992.183
07/02/2018 02:42:01,     0.0227,     4.1463,    975.910
07/02/2018 02:43:01,     0.0261,     4.3624,    968.556
07/02/2018 02:44:01,     0.0326,     4.5467,    968.755
07/02/2018 02:45:01,     0.0406,     4.7077,    968.673
07/02/2018 02:46:01,     0.0416,     4.7491,    968.380
07/02/2018 02:47:01,     0.0357,     4.7090,    969.507
07/02/2018 02:48:01,     0.0357,     4.6435,    991.947
07/02/2018 02:49:01,     0.0348,     4.4196,    968.408
07/02/2018 02:50:01,     0.0340,     4.0946,    992.063
07/02/2018 02:51:01,     0.0290,     3.8591,    991.862
07/02/2018 02:52:01,     0.0249,     3.5358,    968.275
07/02/2018 02:53:01,     0.0218,     3.2976,    968.124
07/02/2018 02:54:01,     0.0142,     3.1425,    991.701
07/02/2018 02:55:01,     0.0189,     2.9741,    991.669
07/02/2018 02:56:01,     0.0176,     2.8054,    968.124
07/02/2018 02:57:01,     0.0148,     2.7308,    991.612
07/02/2018 02:58:01,     0.0148,     2.6579,    991.397
07/02/2018 02:59:01,     0.0141,     2.5732,    967.935
07/02/2018 03:00:01,     0.0124,     2.5337,    968.017
07/02/2018 03:01:01,     0.0124,     2.4903,    991.442
07/02/2018 03:02:01,     0.0128,     2.4151,    967.830
07/02/2018 03:03:01,     0.0175,     2.3107,    968.035
07/02/2018 03:04:01,     0.0155,     2.2634,    991.306
07/02/2018 03:05:01,     0.0158,     2.2481,    967.780
07/02/2018 03:06:01,     0.0203,     2.2501,    991.322
07/02/2018 03:07:01,     0.0217,     2.2806,    991.240
07/02/2018 03:08:01,     0.0264,     2.3315,    967.603
