Time Stamp, NOCNC1-INST (PPB), NO2CNC1-INST (PPB), SMPFLW-INST (cc/m)
07/04/2018 00:01:01,     0.0029,     1.3676,    974.006
07/04/2018 00:02:01,     0.0119,     1.3502,    997.659
07/04/2018 00:03:01,     0.0121,     1.3533,    997.602
07/04/2018 00:04:01,     0.0094,     1.3763,    974.095
07/04/2018 00:05:01,     0.0098,     1.3694,    997.741
07/04/2018 00:06:01,     0.0178,     1.3651,    997.571
07/04/2018 00:07:01,     0.0160,     1.3742,    974.003
07/04/2018 00:08:01,     0.0192,     1.3628,    974.047
07/04/2018 00:09:01,     0.0199,     1.3558,    997.677
07/04/2018 00:10:01,     0.0154,     1.3432,    997.666
07/04/2018 00:11:01,     0.0077,     1.3537,    974.120
07/04/2018 00:12:01,     0.0088,     1.3382,    997.684
07/04/2018 00:13:01,     0.0078,     1.3258,    974.022
07/04/2018 00:14:01,     0.0055,     1.3063,    973.937
07/04/2018 00:15:01,     0.0049,     1.3016,    974.379
07/04/2018 00:16:01,     0.0055,     1.3163,    974.114
07/04/2018 00:17:01,     0.0025,     1.3308,    974.051
07/04/2018 00:18:01,     0.0090,     1.3311,    975.809
07/04/2018 00:19:01,     0.0169,     1.3376,    997.684
07/04/2018 00:20:01,     0.0175,     1.3546,    974.025
07/04/2018 00:21:01,     0.0153,     1.3707,    997.647
07/04/2018 00:22:01,     0.0194,     1.3615,    997.633
07/04/2018 00:23:01,     0.0247,     1.3478,    973.861
07/04/2018 00:24:01,     0.0273,     1.3455,    974.126
07/04/2018 00:25:01,     0.0268,     1.3331,    997.707
07/04/2018 00:26:01,     0.0262,     1.3292,    997.678
07/04/2018 00:27:01,     0.0210,     1.3072,    974.088
07/04/2018 00:28:01,     0.0228,     1.2965,    997.703
07/04/2018 00:29:01,     0.0244,     1.2895,    996.771
07/04/2018 00:30:01,     0.0294,     1.2712,    973.956
07/04/2018 00:31:01,     0.0302,     1.2797,    974.193
07/04/2018 00:32:01,     0.0249,     1.3011,    997.119
07/04/2018 00:33:01,     0.0232,     1.3134,    973.953
07/04/2018 00:34:01,     0.0214,     1.3365,    974.366
07/04/2018 00:35:01,     0.0230,     1.3427,    997.615
07/04/2018 00:36:01,     0.0213,     1.3643,    992.718
07/04/2018 00:37:01,     0.0155,     1.3687,    997.593
07/04/2018 00:38:01,     0.0167,     1.3556,    997.460
07/04/2018 00:39:01,     0.0152,     1.3610,    973.848
07/04/2018 00:40:01,     0.0121,     1.3446,    973.858
07/04/2018 00:41:01,     0.0167,     1.3131,    997.575
07/04/2018 00:42:01,     0.0154,     1.2868,    997.488
07/04/2018 00:43:01,     0.0122,     1.2580,    973.924
07/04/2018 00:44:01,     0.0145,     1.2102,    997.549
07/04/2018 00:45:01,     0.0167,     1.1786,    997.611
07/04/2018 00:46:01,     0.0165,     1.1600,    973.934
07/04/2018 00:47:01,     0.0115,     1.1482,    974.031
07/04/2018 00:48:01,     0.0062,     1.1402,    997.577
07/04/2018 00:49:01,     0.0051,     1.1162,    973.892
07/04/2018 00:50:01,    -0.0025,     1.1352,    973.930
07/04/2018 00:51:01,     0.0046,     1.0984,    997.647
07/04/2018 00:52:01,     0.0070,     1.0737,    997.252
07/04/2018 00:53:01,     0.0047,     1.0581,    997.555
07/04/2018 00:54:01,     0.0036,     1.0496,    997.606
07/04/2018 00:55:01,     0.0059,     1.0381,    996.850
07/04/2018 00:56:01,     0.0057,     1.0311,    973.927
07/04/2018 00:57:01,     0.0099,     1.0227,    974.054
07/04/2018 00:58:01,     0.0146,     0.9905,    997.700
07/04/2018 00:59:01,     0.0193,     0.9443,    973.981
