Time Stamp, NOCNC1-INST (PPB), NO2CNC1-INST (PPB), SMPFLW-INST (cc/m)
06/28/2018 00:01:01,     0.0543,     3.6840,    977.922
06/28/2018 00:02:01,     0.0555,     3.6949,    978.051
06/28/2018 00:03:01,     0.0514,     3.7529,   1001.779
06/28/2018 00:04:01,     0.0546,     3.7569,    977.994
06/28/2018 00:05:01,     0.0584,     3.7649,   1001.728
06/28/2018 00:06:01,     0.0625,     3.7867,   1001.849
06/28/2018 00:07:01,     0.0574,     3.7982,    993.579
06/28/2018 00:08:01,     0.0606,     3.7852,    977.874
06/28/2018 00:09:01,     0.0603,     3.8108,    979.781
06/28/2018 00:10:01,     0.0562,     3.8316,   1001.824
06/28/2018 00:11:01,     0.0620,     3.8273,    977.880
06/28/2018 00:12:01,     0.0623,     3.8049,    981.657
06/28/2018 00:13:01,     0.0604,     3.8187,   1001.756
06/28/2018 00:14:01,     0.0611,     3.7978,    977.966
06/28/2018 00:15:01,     0.0648,     3.7864,    978.013
06/28/2018 00:16:01,     0.0610,     3.8040,   1001.833
06/28/2018 00:17:01,     0.0611,     3.8087,    977.994
06/28/2018 00:18:01,     0.0627,     3.8018,    977.991
06/28/2018 00:19:01,     0.0650,     3.8143,   1001.833
06/28/2018 00:20:01,     0.0673,     3.8245,   1001.710
06/28/2018 00:21:01,     0.0714,     3.8534,   1001.902
06/28/2018 00:22:01,     0.0712,     3.8828,   1001.845
06/28/2018 00:23:01,     0.0711,     3.8821,   1001.539
06/28/2018 00:24:01,     0.0715,     3.8860,    977.988
06/28/2018 00:25:01,     0.0692,     3.8828,    978.095
06/28/2018 00:26:01,     0.0723,     3.8891,   1001.912
06/28/2018 00:27:01,     0.0811,     3.8662,    977.937
06/28/2018 00:28:01,     0.0821,     3.8825,    978.105
06/28/2018 00:29:01,     0.0816,     3.8794,   1001.883
06/28/2018 00:30:01,     0.0784,     3.8792,    977.950
06/28/2018 00:31:01,     0.0805,     3.9149,    977.880
06/28/2018 00:32:01,     0.0850,     3.9532,   1001.780
06/28/2018 00:33:01,     0.0879,     3.9556,    977.902
06/28/2018 00:34:01,     0.0844,     3.9765,    977.877
06/28/2018 00:35:01,     0.0829,     4.0214,   1001.881
06/28/2018 00:36:01,     0.0838,     4.0253,   1001.732
06/28/2018 00:37:01,     0.0840,     4.0417,   1001.799
06/28/2018 00:38:01,     0.0897,     4.0444,    980.444
06/28/2018 00:39:01,     0.0910,     4.0406,   1001.612
06/28/2018 00:40:01,     0.0953,     4.0409,    977.827
06/28/2018 00:41:01,     0.0919,     4.0734,    977.944
06/28/2018 00:42:01,     0.0940,     4.0999,   1001.776
06/28/2018 00:43:01,     0.0945,     4.1046,    977.817
06/28/2018 00:44:01,     0.0936,     4.1309,    977.991
06/28/2018 00:45:01,     0.0872,     4.1663,   1001.763
06/28/2018 00:46:01,     0.0874,     4.1694,   1000.921
06/28/2018 00:47:01,     0.0822,     4.1653,    977.912
06/28/2018 00:48:01,     0.0819,     4.1715,   1001.703
06/28/2018 00:49:01,     0.0847,     4.1723,    977.868
06/28/2018 00:50:01,     0.0842,     4.1521,    977.925
06/28/2018 00:51:01,     0.0841,     4.1668,    978.215
06/28/2018 00:52:01,     0.0817,     4.1651,   1001.818
06/28/2018 00:53:01,     0.0828,     4.1752,   1001.808
06/28/2018 00:54:01,     0.0871,     4.1847,    978.998
06/28/2018 00:55:01,     0.0901,     4.1809,   1001.750
06/28/2018 00:56:01,     0.0930,     4.2229,    977.925
06/28/2018 00:57:01,     0.0931,     4.2391,    977.982
06/28/2018 00:58:01,     0.0919,     4.2700,   1001.852
06/28/2018 00:59:01,     0.0878,     4.2938,    977.839
06/28/2018 01:00:01,     0.0889,     4.3326,    977.970
06/28/2018 01:01:01,     0.0865,     4.3572,    980.836
06/28/2018 01:02:01,     0.0894,     4.3791,   1001.741
06/28/2018 01:03:01,     0.0902,     4.4023,    977.833
06/28/2018 01:04:01,     0.0890,     4.4418,   1001.672
06/28/2018 01:05:01,     0.0922,     4.4473,   1001.542
06/28/2018 01:06:01,     0.0883,     4.4666,    977.862
06/28/2018 01:07:01,     0.0930,     4.4396,    977.963
06/28/2018 01:08:01,     0.0889,     4.4580,   1001.621
06/28/2018 01:09:01,     0.0902,     4.4441,   1001.676
06/28/2018 01:10:01,     0.0900,     4.4721,    978.139
06/28/2018 01:11:01,     0.0938,     4.4848,   1001.649
