Time Stamp, NOCNC1-INST (PPB), NO2CNC1-INST (PPB), SMPFLW-INST (cc/m)
06/30/2018 00:01:01,     0.0664,     5.5106,    995.538
06/30/2018 00:02:01,     0.0692,     5.5226,    972.333
06/30/2018 00:03:01,     0.0765,     5.5199,    972.529
06/30/2018 00:04:01,     0.0757,     5.5231,    996.043
06/30/2018 00:05:01,     0.0724,     5.4966,    995.288
06/30/2018 00:06:01,     0.0779,     5.4729,    996.046
06/30/2018 00:07:01,     0.0781,     5.4598,    996.014
06/30/2018 00:08:01,     0.0761,     5.4483,    972.241
06/30/2018 00:09:01,     0.0697,     5.4508,    972.229
06/30/2018 00:10:01,     0.0700,     5.4364,    974.811
06/30/2018 00:11:01,     0.0677,     5.4187,    995.983
06/30/2018 00:12:01,     0.0627,     5.4103,    972.257
06/30/2018 00:13:01,     0.0634,     5.4270,    972.911
06/30/2018 00:14:01,     0.0637,     5.4163,    995.957
06/30/2018 00:15:01,     0.0599,     5.4110,    972.276
06/30/2018 00:16:01,     0.0700,     5.3695,    972.235
06/30/2018 00:17:01,     0.0633,     5.3733,    995.894
06/30/2018 00:18:01,     0.0731,     5.3482,    972.153
06/30/2018 00:19:01,     0.0656,     5.3457,    972.225
06/30/2018 00:20:01,     0.0651,     5.3333,    995.815
06/30/2018 00:21:01,     0.0677,     5.3328,    995.712
06/30/2018 00:22:01,     0.0660,     5.3181,    995.875
06/30/2018 00:23:01,     0.0639,     5.3159,    995.815
06/30/2018 00:24:01,     0.0631,     5.3365,    995.808
06/30/2018 00:25:01,     0.0584,     5.3506,    972.188
06/30/2018 00:26:02,     0.0606,     5.3548,    972.235
06/30/2018 00:27:01,     0.0582,     5.3542,    995.869
06/30/2018 00:28:01,     0.0639,     5.3328,    972.169
06/30/2018 00:29:01,     0.0673,     5.3198,    972.210
06/30/2018 00:30:01,     0.0691,     5.3200,    995.812
06/30/2018 00:31:01,     0.0624,     5.3245,    990.747
06/30/2018 00:32:01,     0.0637,     5.2973,    972.140
06/30/2018 00:33:01,     0.0649,     5.2825,    995.796
06/30/2018 00:34:01,     0.0660,     5.2599,    987.555
06/30/2018 00:35:01,     0.0626,     5.2667,    972.153
06/30/2018 00:36:01,     0.0598,     5.2486,    973.924
06/30/2018 00:37:01,     0.0553,     5.2686,    995.818
06/30/2018 00:38:01,     0.0521,     5.2600,    995.806
06/30/2018 00:39:01,     0.0582,     5.2657,    975.749
06/30/2018 00:40:01,     0.0592,     5.2314,    995.752
06/30/2018 00:41:01,     0.0575,     5.2259,    972.080
06/30/2018 00:42:01,     0.0563,     5.2071,    972.181
06/30/2018 00:43:01,     0.0530,     5.2202,    976.453
06/30/2018 00:44:01,     0.0578,     5.1923,    972.131
06/30/2018 00:45:01,     0.0633,     5.1449,    972.162
06/30/2018 00:46:01,     0.0658,     5.1028,    995.716
06/30/2018 00:47:01,     0.0691,     5.0522,    994.353
06/30/2018 00:48:01,     0.0697,     5.0139,    972.134
06/30/2018 00:49:01,     0.0750,     4.9907,    995.724
06/30/2018 00:50:01,     0.0757,     4.9939,    995.496
06/30/2018 00:51:01,     0.0744,     4.9508,    972.137
06/30/2018 00:52:01,     0.0772,     4.9128,    972.159
06/30/2018 00:53:01,     0.0760,     4.9167,    995.683
06/30/2018 00:54:01,     0.0737,     4.8910,    995.695
06/30/2018 00:55:01,     0.0713,     4.9010,    972.529
06/30/2018 00:56:01,     0.0724,     4.9019,    995.616
06/30/2018 00:57:01,     0.0678,     4.8815,    971.985
06/30/2018 00:58:01,     0.0640,     4.8392,    972.027
06/30/2018 00:59:01,     0.0631,     4.8072,    972.813
06/30/2018 01:00:01,     0.0646,     4.7831,    972.011
06/30/2018 01:01:01,     0.0620,     4.7526,    972.020
06/30/2018 01:02:01,     0.0636,     4.7277,    972.374
06/30/2018 01:03:01,     0.0669,     4.7099,    995.701
06/30/2018 01:04:01,     0.0636,     4.7176,    972.055
06/30/2018 01:05:01,     0.0683,     4.7350,    995.679
06/30/2018 01:06:01,     0.0656,     4.7528,    995.524
06/30/2018 01:07:01,     0.0644,     4.8082,    971.995
