Time Stamp, NOCNC1-INST (PPB), NO2CNC1-INST (PPB), SMPFLW-INST (cc/m)
06/27/2018 00:00:01,     0.0849,     7.7047,   1003.955
06/27/2018 00:01:01,     0.0829,     7.7459,    980.103
06/27/2018 00:02:01,     0.0839,     7.7724,    980.182
06/27/2018 00:03:01,     0.0829,     7.7808,    982.727
06/27/2018 00:04:01,     0.0830,     7.8064,   1004.097
06/27/2018 00:05:01,     0.0755,     7.8442,   1004.106
06/27/2018 00:06:01,     0.0765,     7.8496,   1004.038
06/27/2018 00:07:01,     0.0767,     7.8807,   1003.958
06/27/2018 00:08:01,     0.0748,     7.9171,    980.208
06/27/2018 00:09:01,     0.0829,     7.9252,    980.265
06/27/2018 00:10:01,     0.0865,     7.9306,   1004.028
06/27/2018 00:11:01,     0.0863,     8.0053,    980.132
06/27/2018 00:12:01,     0.0875,     8.0786,    980.204
06/27/2018 00:13:01,     0.0880,     8.1074,   1003.999
06/27/2018 00:14:01,     0.0885,     8.1713,   1001.407
06/27/2018 00:15:01,     0.0932,     8.1965,    980.091
06/27/2018 00:16:01,     0.0921,     8.2292,   1004.069
06/27/2018 00:17:01,     0.0977,     8.3202,    980.185
06/27/2018 00:18:01,     0.0985,     8.3741,    980.110
06/27/2018 00:19:01,     0.0994,     8.4460,    981.717
06/27/2018 00:20:01,     0.0979,     8.4897,   1004.035
06/27/2018 00:21:01,     0.0943,     8.5871,   1004.002
06/27/2018 00:22:01,     0.1019,     8.6406,    980.890
06/27/2018 00:23:01,     0.0989,     8.7225,   1003.936
06/27/2018 00:24:01,     0.1025,     8.8093,    980.157
06/27/2018 00:25:01,     0.0996,     8.8802,    980.094
06/27/2018 00:26:01,     0.0934,     8.9383,   1004.025
06/27/2018 00:27:01,     0.0941,     9.0039,    980.132
06/27/2018 00:28:01,     0.0949,     9.0242,    980.154
06/27/2018 00:29:01,     0.0922,     9.0819,   1003.914
06/27/2018 00:30:01,     0.0855,     9.1293,   1002.850
06/27/2018 00:31:01,     0.0807,     9.1362,    980.148
06/27/2018 00:32:01,     0.0807,     9.0893,   1004.113
06/27/2018 00:33:01,     0.0732,     9.1320,   1003.661
06/27/2018 00:34:01,     0.0683,     9.1491,    980.053
06/27/2018 00:35:01,     0.0654,     9.2171,    980.151
06/27/2018 00:36:01,     0.0605,     9.2429,   1004.034
06/27/2018 00:37:01,     0.0665,     9.3013,   1003.980
06/27/2018 00:38:01,     0.0725,     9.3094,    980.192
06/27/2018 00:39:01,     0.0768,     9.3698,   1003.996
06/27/2018 00:40:01,     0.0826,     9.4606,    995.660
06/27/2018 00:41:01,     0.0827,     9.5894,    980.148
06/27/2018 00:42:01,     0.0896,     9.6144,    981.866
06/27/2018 00:43:01,     0.0964,     9.5869,    980.103
06/27/2018 00:44:01,     0.0963,     9.5794,    980.078
06/27/2018 00:45:01,     0.0971,     9.5258,    981.048
06/27/2018 00:46:01,     0.0956,     9.4621,   1003.850
06/27/2018 00:47:01,     0.0931,     9.3145,    980.056
06/27/2018 00:48:01,     0.0891,     9.1200,   1003.949
06/27/2018 00:49:01,     0.0925,     8.9589,   1003.907
06/27/2018 00:50:01,     0.0930,     8.7960,    980.125
06/27/2018 00:51:01,     0.0926,     8.6255,    980.122
06/27/2018 00:52:01,     0.0872,     8.4978,   1003.991
