id,timestamp,node_id, gps_lat, gps_lng, gps_alt, temperatre, humidity,pressure,pm2.5,pm10,pm1.0,formaldehyde,no2
6475333,2018-04-10 18:05:33+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27, 26.7,996.4,6,7,3,0.0134799995422,
6475334,2018-04-10 18:07:07+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.5,996.4,6,8,3,0.0138900003433,
6475335,2018-04-10 18:08:41+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.6,996.5,7,7,3,0.0140200004578,
6475336,2018-04-10 18:10:15+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.7,996.4,6,7,3,0.013529999733,
6475337,2018-04-10 18:11:49+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.1, 26.8,996.4,5,7,3,0.0140500001907,
6475338,2018-04-10 18:13:22+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.6,996.5,5,7,3,0.0138500003815,
6475339,2018-04-10 18:14:57+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.3,996.6,4,4,3,0.0135,
6475340,2018-04-10 18:16:30+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27, 26.4,996.5,6,8,3,0.0140500001907,
6475341,2018-04-10 18:18:04+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.4,996.6,6,7,3,0.0146400003433,
6475342,2018-04-10 18:19:38+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.4,996.6,6,7,3,0.0145600004196,
6475343,2018-04-10 18:21:12+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.1, 26.3,996.6,5,6,3,0.0146400003433,
6475344,2018-04-10 18:22:46+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 26.4,996.6,5,6,3,0.0148599996567,
6475345,2018-04-10 18:24:20+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.3,996.5,5,6,3,0.0148299999237,
